날짜,주식,주가변동여부,거래량변동여부
2021-03-09,하이브,0,1
2021-03-08,하이브,1,1
2021-03-05,하이브,0,0
2021-03-04,하이브,1,0
2021-03-03,하이브,1,1
2021-03-02,하이브,1,0
2021-02-26,하이브,0,0
2021-02-25,하이브,1,0
2021-02-24,하이브,0,1
2021-02-23,하이브,1,0
2021-02-22,하이브,0,0
2021-02-19,하이브,0,0
2021-02-18,하이브,0,1
2021-02-17,하이브,1,0
2021-02-16,하이브,1,1
2021-02-15,하이브,0,0
2021-02-10,하이브,1,0
2021-02-09,하이브,0,1
2021-02-08,하이브,1,0
2021-02-05,하이브,1,0
2021-02-04,하이브,1,1
2021-02-03,하이브,0,0
2021-02-02,하이브,1,1
2021-02-01,하이브,1,0
2021-01-29,하이브,0,0
2021-01-28,하이브,1,1
2021-01-27,하이브,0,1
2021-01-26,하이브,1,0
2021-01-25,하이브,1,0
2021-01-22,하이브,1,1
2021-01-21,하이브,0,0
2021-01-20,하이브,1,0
2021-01-19,하이브,1,0
2021-01-18,하이브,1,0
2021-01-15,하이브,0,1
2021-01-14,하이브,0,0
2021-01-13,하이브,1,1
2021-01-12,하이브,0,0
2021-01-11,하이브,0,0
2021-01-08,하이브,1,1
2021-01-07,하이브,0,0
2021-01-06,하이브,0,0
2021-01-05,하이브,1,1
2021-01-04,하이브,0,1
2020-12-30,하이브,1,1
2020-12-29,하이브,1,0
2020-12-28,하이브,0,0
2020-12-24,하이브,1,0
2021-07-16,삼성전자,0,0
2021-07-15,삼성전자,1,1
2021-07-14,삼성전자,0,1
2021-07-13,삼성전자,1,1
2021-07-12,삼성전자,1,0
2021-07-09,삼성전자,0,1
2021-07-08,삼성전자,0,1
2021-07-07,삼성전자,0,1
2021-07-06,삼성전자,1,1
2021-07-05,삼성전자,1,0
2021-07-02,삼성전자,0,0
2021-07-01,삼성전자,0,1
2021-06-30,삼성전자,0,0
2021-06-29,삼성전자,0,1
2021-06-28,삼성전자,1,0
2021-06-25,삼성전자,1,0
2021-06-24,삼성전자,1,1
2021-06-23,삼성전자,1,1
2021-06-22,삼성전자,1,0
2021-06-21,삼성전자,0,1
2021-06-18,삼성전자,0,1
2021-06-17,삼성전자,0,0
2021-06-16,삼성전자,1,1
2021-06-15,삼성전자,1,0
2021-06-14,삼성전자,0,0
2021-06-11,삼성전자,0,0
2021-06-10,삼성전자,0,1
2021-06-09,삼성전자,0,1
2021-06-08,삼성전자,0,0
2021-06-07,삼성전자,0,0
2021-06-04,삼성전자,0,0
2021-06-03,삼성전자,1,1
2021-06-02,삼성전자,1,1
2021-06-01,삼성전자,1,1
2021-05-31,삼성전자,1,1
2021-05-28,삼성전자,1,0
2021-05-27,삼성전자,0,1
2021-05-26,삼성전자,0,0
2021-05-25,삼성전자,1,1
2021-05-24,삼성전자,0,0
2021-05-21,삼성전자,1,1
2021-05-20,삼성전자,0,0
2021-05-18,삼성전자,0,0
2021-05-17,삼성전자,0,1
2021-05-14,삼성전자,1,0
2021-05-13,삼성전자,0,0
2021-05-12,삼성전자,0,1
2021-05-11,삼성전자,0,1
2021-05-10,삼성전자,1,1
2021-05-07,삼성전자,0,0
2021-05-06,삼성전자,0,1
2021-05-04,삼성전자,1,0
2021-05-03,삼성전자,1,0
2021-04-30,삼성전자,0,0
2021-04-29,삼성전자,0,1
2021-04-28,삼성전자,0,1
2021-04-27,삼성전자,0,0
2021-04-26,삼성전자,1,0
2021-04-23,삼성전자,1,1
2021-04-22,삼성전자,0,0
2021-04-21,삼성전자,0,1
2021-04-20,삼성전자,1,1
2021-04-19,삼성전자,0,0
2021-04-16,삼성전자,0,0
2021-04-15,삼성전자,1,1
2021-04-14,삼성전자,0,0
2021-04-13,삼성전자,1,1
2021-04-12,삼성전자,0,0
2021-04-09,삼성전자,0,0
2021-04-08,삼성전자,0,1
2021-04-07,삼성전자,0,0
2021-04-06,삼성전자,1,1
2021-04-05,삼성전자,1,0
2021-04-02,삼성전자,1,1
2021-04-01,삼성전자,1,1
2021-03-31,삼성전자,0,1
2021-03-30,삼성전자,1,0
2021-03-29,삼성전자,1,1
2021-03-26,삼성전자,1,0
2021-03-25,삼성전자,1,0
2021-03-24,삼성전자,0,1
2021-03-23,삼성전자,0,1
2021-03-22,삼성전자,1,0
2021-03-19,삼성전자,0,0
2021-03-18,삼성전자,1,1
2021-03-17,삼성전자,0,0
2021-03-16,삼성전자,1,0
2021-03-15,삼성전자,0,1
2021-03-12,삼성전자,1,0
2021-03-11,삼성전자,1,1
2021-03-10,삼성전자,0,0
2021-03-09,삼성전자,0,1
2021-03-08,삼성전자,0,0
2021-03-05,삼성전자,0,0
2021-03-04,삼성전자,0,1
2021-03-03,삼성전자,1,0
2021-03-02,삼성전자,1,0
2021-02-26,삼성전자,0,1
2021-02-25,삼성전자,1,1
2021-02-24,삼성전자,0,1
2021-02-23,삼성전자,0,0
2021-02-22,삼성전자,0,0
2021-02-19,삼성전자,1,1
2021-02-18,삼성전자,0,1
2021-02-17,삼성전자,0,0
2021-02-16,삼성전자,1,0
2021-02-15,삼성전자,1,1
2021-02-10,삼성전자,0,1
2021-02-09,삼성전자,0,1
2021-02-08,삼성전자,0,0
2021-02-05,삼성전자,1,0
2021-02-04,삼성전자,0,1
2021-02-03,삼성전자,1,0
2021-02-02,삼성전자,1,0
2021-02-01,삼성전자,1,0
2021-01-29,삼성전자,0,1
2021-01-28,삼성전자,0,1
2021-01-27,삼성전자,0,0
2021-01-26,삼성전자,0,1
2021-01-25,삼성전자,1,0
2021-01-22,삼성전자,0,1
2021-01-21,삼성전자,1,1
